store_id,item_id,absolute_error
store_12,item_1,3.4750485784933645
store_34,item_20,3.2931237617222098
store_12,item_20,3.2918958312348736
store_2,item_20,3.191296912287515
store_44,item_20,3.1822291453620664
store_2,item_1,3.1259448448261526
store_12,item_6,3.024871798473475
store_34,item_31,3.009818730500054
store_34,item_1,2.9929976537623637
store_35,item_1,2.9923720805650045
store_35,item_3,2.987025062290639
store_35,item_20,2.985435097170395
store_12,item_3,2.9636388413758383
store_2,item_6,2.9519156553174404
store_36,item_20,2.934426538817995
store_28,item_43,2.9148260816389837
store_28,item_4,2.913366867411436
store_26,item_2,2.912349580416805
store_49,item_21,2.9118847601613855
store_34,item_39,2.8970330013478494
